place,latitude,longitude,current_name,type,parent_node,creation_date,comment,oblast
Житомир,50.25465,28.6586669,,"oblast, raion",Київ,1941-07-11 00:00:00,,Житомирська
Троянівка Житомирського р-ну,50.113333,28.523056,,raion,Житомир,1941-07-11 00:00:00,,Житомирська
Попільня (за ін. даними центр округи був в Андрушівці),49.9451487,29.4560736,,"okruga, raion",Житомир,1941-07-11 00:00:00,,Житомирська
Андрушівка,50.0312719,29.0216369,,raion,Попільня,1941-07-11 00:00:00,,Житомирська
Вчорайше,49.8633246,29.1444626,,raion,Попільня,1941-26-07,,Житомирська
Корнин,50.0920849,29.5436691,,raion,Попільня,1941-12-01 00:00:00,,Житомирська
Ружин,49.7220862,29.2112498,,raion,Попільня,1941-07-18 00:00:00,,Житомирська
Бердичів,49.9106591,28.5900313,,"okruga, raion",Житомир,1941-07-16 00:00:00,,Житомирська
Чуднів,50.05569300000001,28.1177,,raion,Бердичів,1941-08-01 00:00:00,,Житомирська
Янушпіль,49.8617413,28.2095746,Іванопіль Чуднівського р-ну,raion,Бердичів,1941-08-01 00:00:00,,Житомирська
с. Стрибіж Пулинського р-ну (центр Червоноармійського р-ну ОУН),50.3965872,28.1603933,Червоноармійський р-н - нині Пулинський,"okruga, raion",Житомир,1941-07-11 00:00:00,,Житомирська
Хорошів (екс-Володарськ-Волинський),50.6013484,28.4338013,,raion,Стрибіж,1941-07-11 00:00:00,,Житомирська
Бараші Ємільчинського р-ну,50.7134086,28.0232983,,raion,Стрибіж,1941-07-11 00:00:00,,Житомирська
Черняхів,50.454046,28.6735505,,raion,Стрибіж,1941-07-11 00:00:00,,Житомирська
Звягель (провід округи був у м. Корці Рівненської обл.),50.58602029999999,27.6363775,Новоград-Волинський,"okruga, raion","Житомир, Рівне??",1941-08-01 00:00:00,"Провід округи був у Корці Рівненської обл. Імовірно входила до Волинського крайового проводу. Відповідно, як позначити її зв'язок - хз",Житомирська
Ярунь Новоград-Волинського р-ну,50.5444572,27.4705256,,raion,Корець Рівненської обл.,1941-08-01 00:00:00,,Житомирська
Городниця Новоград-Волинського р-ну,50.8105808,27.3166945,,raion,Корець Рівненської обл.,1941-08-01 00:00:00,,Житомирська
Коростень,50.9532135,28.6457544,,"okruga, raion",Житомир,1941-08-08 00:00:00,,Житомирська
Чоповичі,50.8341358,28.9512311,,raion,Коростень,1941-08-08 00:00:00,,Житомирська
Малин,50.7696795,29.2604876,,raion,Коростень,1941-07-23 00:00:00,,Житомирська
Овруч,51.3268314,28.8028968,,okruga,Житомир,1941-08-23 00:00:00,,Житомирська
Радомишль,50.4965282,29.2337369,,raion,???,1941-12-01 00:00:00,,Житомирська
Брусилів,50.28757419999999,29.5094362,,raion,???,1941-08-01 00:00:00,,Житомирська
Проскурів,49.422983,26.9871331,Хмельницький,"oblast, okruga, raion",Київ,1941-07-17 00:00:00,,Хмельницька
Деражня,49.2672882,27.4321477,,raion,Проскурів,1941-08-01 00:00:00,,Хмельницька
Чемерівці,49.0186498,26.3397803,,nadraion,Проскурів,1941-07-17 00:00:00,,Хмельницька
Оринин Кам'янець-Подільського району,48.7629336,26.3908792,,raion,Проскурів,1941-07-17 00:00:00,,Хмельницька
"с. Кадиївці Кам'янець-Подільського р-ну 
(Кам'янець-Подільський окружний провід)",48.7076244,26.4403741,,okruga,Кам'янець-Подільський,1941-07-19 00:00:00,,Хмельницька
Летичів,49.385028,27.6242251,,"okruga, nadraion, raion",Кам'янець-Подільський,1941-08-01 00:00:00,,Хмельницька
Меджибіж,49.4389042,27.4042153,,raion,Летичів,1941-08-01 00:00:00,,Хмельницька
Дунаївці,48.8922474,26.8603864,,nadraion,Летичів,1941-07-19 00:00:00,,Хмельницька
Старокостянтинів,49.7546828,27.2121595,,okruga,Вінниця; Проскурів,1941-07-18 00:00:00,,Хмельницька
Остропіль,49.8077202,27.5558184,Старий Остропіль Старокостянтинівського р-ну,raion,Старокостянтинів,1941-07-18 00:00:00,,Хмельницька
Стара Синява,49.596605,27.6251725,,raion,Старокостянтинів,1941-07-18 00:00:00,,Хмельницька
Гриців Шепетівського р-ну,49.97618929999999,27.2264289,,raion,Старокостянтинів,1941-07-18 00:00:00,,Хмельницька
Красилів,49.64920230000001,26.9757217,,raion,Старокостянтинів,1941-07-18 00:00:00,,Хмельницька
Ярмолинці,49.189578,26.8447254,,"okruga, raion",Кам'янець-Подільський,1941-07-19 00:00:00,,Хмельницька
Солобківці,49.0860047,26.9212431,,raion,Ярмолинці,1941-07-19 00:00:00,,Хмельницька
Волочиськ,49.5345161,26.2093072,,raion,Ярмолинці,1941-07-03 00:00:00,,Хмельницька
Ляхівці,48.561366,22.4780848,,raion,Ярмолинці,1941-07-19 00:00:00,,Хмельницька
Ізяслав,50.1191124,26.8281141,,raion,Ярмолинці,1941-07-19 00:00:00,,Хмельницька
Північна округа (центр поки невідомий),37.09024,-95.712891,,okruga,Кам'янець-Подільський,,,Хмельницька
Славута,50.2969058,26.8600648,,raion,???,1941-08-01 00:00:00,,Хмельницька
Довжок,48.6747626,26.5297693,,raion,???,1941-07-19 00:00:00,,Хмельницька
Шепетівка,50.1757487,27.0559924,,raion,???,1941-07-19 00:00:00,,Хмельницька
Київ,50.4501,30.5234,,"kray, oblast",Львів,,,Київська
Біла Церква Київської обл.,49.7967977,30.1310853,,"okruga, raion, nadraion",Київ,1941-08-01 00:00:00,,Київська
Великополовецьке Київської обл.,49.8700306,29.94314079999999,,raion,Біла Церква,1941-08-01 00:00:00,,Київська
Гребінки Київської обл.,49.9550557,30.1778779,,raion,Біла Церква,1941-08-01 00:00:00,,Київська
Узин Київської обл.,49.82478829999999,30.4053369,,raion,Біла Церква,1941-08-01 00:00:00,,Київська
Рокитне Київської обл.,49.6911802,30.4780154,,raion,Біла Церква,1941-08-01 00:00:00,,Київська
Ставище Київської обл.,49.3909134,30.1988199,,raion,Біла Церква,1941-08-01 00:00:00,,Київська
Володарка Київської обл.,49.5265342,29.9197237,,raion,Біла Церква,1941-08-01 00:00:00,"Районного проводу не було, лише два кущові проводи.",Київська
Сквира Київської обл.,49.7328752,29.6642903,,raion,Біла Церква,1941-08-01 00:00:00,,Київська
Тетіїв Київської обл.,49.3663943,29.6583812,,raion,Біла Церква,1941-08-01 00:00:00,,Київська
Тараща Черкаської обл.,49.347264,31.1215659,,raion,Біла Церква,1941-08-01 00:00:00,До грудня 1942 р. мав зв'язок з БЦ окружним проводом,Київська
Васильків Київської обл.,50.1770891,30.3196385,,"okruga, raion, nadraion",Київ,1941-08-01 00:00:00,,Київська
Фастів Київської обл.,50.0637682,29.90496839999999,,raion,Васильків,1941-08-01 00:00:00,,Київська
Обухів Київської обл.,50.109938,30.6298846,,raion,Васильків,1941-08-01 00:00:00,,Київська
Бишів Київської обл.,50.264608,29.8835744,,raion,Васильків,1941-07-10 00:00:00,,Київська
Макарів Київської обл.,50.4573262,29.8126551,,raion,???,1941-07-10 00:00:00,"незрозуміло, яка округа. Можливо, Васильківська.",Київська
Ржищів Київської обл.,49.9657673,31.0432748,,raion,???,1941-08-21 00:00:00,"незрозуміло, яка округа",Київська
Переяслав Київської обл.,50.0715832,31.4501543,,"okruga, raion",Київ,1941-09-17 00:00:00,,Київська
Бориспіль Київської обл.,50.3482,30.95615,,raion,Переяслав,1941-09-20 00:00:00,,Київська
Березань Київської обл.,50.3070969,31.46433,,raion,Переяслав,1941-09-17 00:00:00,,Київська
Баришівка Київської обл.,50.350705,31.3188908,,raion,Переяслав,1941-09-21 00:00:00,,Київська
Кагарлик Київської обл.,49.8620646,30.8192399,,raion,,1941-08-03 00:00:00,осередки в селах району,Київська
Бровари Київської обл.,50.511083,30.7909,,raion,Біла Церква,1941-09-19 00:00:00,осередки в селах району Семиполки та Вигурівщина.,Київська
Сучасна Черкаська область:,49.4120508,32.1051085,,,Переяслав,,,Київська
Умань Черкаської обл.,48.74939269999999,30.2214499,,"okruga, raion",,1941-08-01 00:00:00,,Київська
Бабанка Черкаської обл.,48.710098,30.4502572,,raion,Київ,1941-08-01 00:00:00,,Київська
Христинівка Черкаської обл.,48.8117212,29.9738949,,raion,Умань,1941-08-01 00:00:00,,Київська
Тальне Черкаська обл.,48.887593,30.7044131,,raion,Умань,1941-08-01 00:00:00,,Київська
Маньківка Черкаська обл.,48.9614468,30.3375126,,raion,Умань,1941-08-01 00:00:00,,Київська
