place,child_lat,child_lon,current_name,type,parent_node,parent_lat,parent_lon,is_single,creation_date,comment,oblast,
Голгочанський,49.18849,25.15122,Голгоча,raion,Підгаєцький повіт,49.27745,25.13102,FALSE,1/1/1942 00:00,,Тернопільська,
Зборівський,49.66473,25.14043,Зборів,povit,Бережанська округа,49.44773,24.95110,FALSE,1/1/1942 00:00,,Тернопільська,
Зборівський,49.66473,25.14043,Зборів,raion,Зборівський повіт,49.66473,25.14043,FALSE,1/1/1942 00:00,,Тернопільська,
Поморянський,49.62997,24.93972,Поморяни,raion,Зборівський повіт,49.66473,25.14043,FALSE,1/1/1942 00:00,,Тернопільська,
Залозецький,49.80021,25.38491,Залізці,raion,Зборівський повіт,49.66473,25.14043,FALSE,1/1/1942 00:00,,Тернопільська,
Озернянський,49.62550,25.33143,Озерна,raion,Зборівський повіт,49.66473,25.14043,FALSE,1/1/1942 00:00,,Тернопільська,
Збаразький,49.66209,25.77517,Збараж,povit,Тернопільська округа,49.55654,25.60593,FALSE,1/1/1942 00:00,,Тернопільська,
Збаразький,49.66209,25.77517,Збараж,raion,Збаразький повіт,49.66209,25.77517,FALSE,1/1/1942 00:00,,Тернопільська,
Максимівський,49.60195,25.90106,Максимівка,raion,Збаразький повіт,49.66209,25.77517,FALSE,1/1/1942 00:00,,Тернопільська,
Кошляківський,49.67819,26.14546,Кошляки,raion,Збаразький повіт,49.66209,25.77517,FALSE,1/1/1942 00:00,,Тернопільська,
